,course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
196,(ISC)² Systems Security Certified Practitioner (SSCP),ISC2,Specialization,3 - 6 Months,4.7,484,Beginner,https://www.coursera.org/specializations/sscp-training,"6,706","['Security Software', 'Risk Management', 'Access Control', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Risk Management', 'Asset', 'Risk Management']"
648,.NET FullStack Developer,Board Infinity ,Specialization,1 - 3 Months,4.3,49,Intermediate,https://www.coursera.org/specializations/dot-net-fullstack,"2,140","['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C# programming', 'API Integration', 'Model__iew__ontroller (MVC)', 'asp.net', 'C Sharp (C#) (Programming Language)', '.NET Core', '.NET Architecture', 'ASP.NET Fundamentals', 'Computer Programming', 'HTML', 'JavaScript', 'Cascading Style Sheets (CSS)', 'React (Web Framework)', 'Web API', 'Front And Back Ends', 'Web Application', 'MVC', 'asp.net']"
928,21st Century Energy Transition: how do we make it work?,University of Alberta,Course,1 - 3 Months,4.8,59,Beginner,https://www.coursera.org/learn/21st-century-energy-transition,"4,282",[]
580,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,1 - 3 Months,4.7,515,Intermediate,https://www.coursera.org/learn/crash-course-in-causality,"38,833",[]
918,A life with ADHD,University of Geneva,Course,1 - 3 Months,,,Beginner,https://www.coursera.org/learn/life-with-adhd,,"['differential diagnosis and comorbidities', 'symptoms assessment', 'accomodation', 'Neuroscience', 'intervention']"
433,AI & Law,Lund University,Course,1 - 4 Weeks,4.7,361,Beginner,https://www.coursera.org/learn/ai-law,"25,442",[]
591,AI Applications in Marketing and Finance,University of Pennsylvania,Course,1 - 4 Weeks,4.7,130,Mixed,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,"7,307",[]
792,AI Applications in People Management,University of Pennsylvania,Course,1 - 4 Weeks,4.7,67,Mixed,https://www.coursera.org/learn/wharton-ai-applications-people-management,"5,066",[]
72,AI For Business,University of Pennsylvania,Specialization,3 - 6 Months,4.7,364,Beginner,https://www.coursera.org/specializations/ai-for-business-wharton,"13,092","['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Data Analysis', 'Algorithms', 'Leadership and Management', 'Business Analysis', 'Decision Making', 'Human Resources', 'People Analysis', 'Artificial Neural Networks', 'Deep Learning']"
47,AI For Everyone,DeepLearning.AI,Course,1 - 4 Weeks,4.8,39.2k,Beginner,https://www.coursera.org/learn/ai-for-everyone,"1,080,159",[]
537,AI For Everyone �___��__��_____AI___��__��_座�_,DeepLearning.AI,Course,1 - 3 Months,4.8,244,Beginner,https://www.coursera.org/learn/ai-for-everyone-ja,"27,542",[]
46,AI Foundations for Everyone,IBM,Specialization,3 - 6 Months,4.7,13.9k,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,"20,473","['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)', 'Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Jobs', 'Machine Learning', 'Deep Learning', 'Application Programming Interfaces (API)', 'Artificial Intelligence (AI)', 'Machine Learning', 'watson']"
877,AI Foundations: Prompt Engineering with ChatGPT,Arizona State University,Course,1 - 3 Months,,,Beginner,https://www.coursera.org/learn/ai-foundations-prompt-engineering-with-chatgpt,,[]
296,AI Fundamentals for Non-Data Scientists,University of Pennsylvania,Course,1 - 4 Weeks,4.7,194,Mixed,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,"14,341",[]
133,AI Product Management,Duke University,Specialization,3 - 6 Months,4.7,330,Beginner,https://www.coursera.org/specializations/ai-product-management-duke,"18,425","['Data Science', 'Predictive Modelling', 'Artificial Neural Network', 'Ethics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Product Management', 'product design', 'User Experience (UX)', 'Modeling', 'Privacy', 'Project Management', 'Data Science', 'Artificial Neural Network', 'Machine Learning', 'Predictive Analytics', 'Modeling', 'Modeling', 'Project Management', 'Machine Learning', 'Machine Learning', 'Privacy', 'Design Thinking', 'Ethics']"
817,AI Strategy and Governance,University of Pennsylvania,Course,1 - 4 Weeks,4.9,68,Beginner,https://www.coursera.org/learn/wharton-ai-strategy-governance,"5,670",[]
636,AI and Climate Change,DeepLearning.AI,Course,1 - 4 Weeks,4.8,39,Beginner,https://www.coursera.org/learn/ai-and-climate-change,"3,175",[]
964,AI and Disaster Management,DeepLearning.AI,Course,1 - 4 Weeks,4.8,26,Beginner,https://www.coursera.org/learn/ai-and-disaster-management,"2,136","['Natural Language Processing', 'Topic Model', 'AI for Good project framework', 'Damage Assessment', 'Computer Vision']"
331,AI and Public Health,DeepLearning.AI,Course,1 - 4 Weeks,4.8,106,Beginner,https://www.coursera.org/learn/ai-and-public-health,"7,976","['Air Quality Monitoring', 'AI for Good project framework', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis']"
